addressable_patients,peak_penetration,annual_price_usd,approval_prob,ramp_years,exclusivity_years,operating_margin,discount_rate,peak_revenue_musd,npv_if_approved_musd,rnpv_musd,synergy_musd
47459,0.3325687894850027,72427.44834440408,0.8787710189612398,6,14,0.7565990975839303,0.08056046084168621,1143.1500975541594,5606.143369525825,4926.516321281008,521.3889913171836
46796,0.2679085545824044,81611.12226681446,0.8531076833334346,5,13,0.6318850856460713,0.10283459382114085,1023.1626159723693,3554.3387373495816,3032.2336860025866,196.12160153939277
41904,0.23022816064867946,84574.98285760569,0.8717399007849146,5,12,0.634088845207734,0.1322702941194167,815.9355269853472,2459.2993759984365,2143.8693940332796,332.173432177258
46050,0.3126608143347167,89724.31639645364,0.8306126029914964,4,11,0.5702805178197323,0.11882452077530771,1291.8534440779915,4032.6488455989906,3349.5689545936307,553.8786184070732
46676,0.363559942334179,96920.90046071624,0.894649654934658,6,12,0.6633003238425941,0.08806422343174156,1644.7015337139887,5456.60130475587,4881.746474415843,60.79248168107039
40102,0.3633792934772211,78963.54271058325,0.8779559767239755,6,13,0.694988319164673,0.11130486880776781,1150.6754134939888,4203.441773603047,3690.436827946023,631.6509165987247
55434,0.2593889402114808,83523.18522845431,0.8542983384282786,5,10,0.519813249675896,0.13147030401394078,1200.9770833490595,2849.139683764723,2434.015297790274,549.3806880030379
51726,0.2924415155243947,80804.65386044743,0.8587809570721856,6,11,0.5914681673501391,0.12023530417595225,1222.3182485818493,3171.784209459617,2723.8678790261756,458.77490870548706
44523,0.3778200218138857,79938.79953950332,0.9159098853287557,4,13,0.6783093614103641,0.1045356262404514,1344.704971884372,5636.326239465508,5162.36691966431,476.0396396926066
45319,0.22370090099559373,80995.67240887185,0.8702065795789767,4,12,0.6570433885832195,0.08699745005397586,821.1261190187664,3527.860320100324,3069.967262386897,284.3166048241366
40751,0.38893823861338805,88212.28758088934,0.880289177036331,5,13,0.6317507153058609,0.09032440833577451,1398.1314281793323,5220.623135939776,4595.658043953255,226.68337803829183
47070,0.33566830956902155,91246.93263297036,0.843340899540982,5,11,0.5660720055054521,0.09135549153765041,1441.6930798766934,4497.512418338992,3792.9361685787426,433.09183810155406
42917,0.3327019922415742,84913.86041782013,0.8723085461250917,4,12,0.6430168372290063,0.08,1212.4486189130794,4992.126704251224,4354.67478745763,93.84092268473718
41448,0.35088522116247695,76104.04788368399,0.8743635591885842,5,11,0.6064996457977775,0.12311388255645392,1106.8185085755897,3334.3158183709133,2915.4042464095887,572.0045758578826
49781,0.3291288910152571,95223.81519159848,0.860079191861856,5,11,0.5147127895654859,0.10314159031889161,1560.1817756090268,4055.135243315333,3487.7374429611823,334.5978359355509
41364,0.37291149412283714,91686.36855468988,0.9113142631732954,6,12,0.5988696209840245,0.10863780638418778,1414.2724160760743,3764.5101449887648,3430.651788988832,118.69428830177189
49904,0.31245336920786626,88158.59292112973,0.8629041237224881,6,11,0.6015328629992113,0.09511652367035696,1374.628106000835,4116.4534890865825,3552.1046908446365,481.2740139682905
